"","SPECIES","TAXONNAME","COMMONNAME","GENUS","FAMILY","COMMONFAMILYALL","TROPHIC","TROPHIC_MONREP"
"164","CHKL","Chaetodon kleinii","Sunburst butterflyfish","Chaetodon","Chaetodontidae","Butterflyfish","Pk","PLANKTIVORE"
"165","PYDI","Pygoplites diacanthus","Royal angelfish","Pygoplites","Pomacanthidae","Angelfish","SI","SECONDARY"
"166","CTSR","Ctenochaetus striatus","Striated surgeonfish","Ctenochaetus","Acanthuridae","Surgeonfish","H","PRIMARY"
"167","CHVA","Chromis vanderbilti","Vanderbilt's chromis","Chromis","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"168","EPSP","Epinephelus sp","UNKNOWN","Epinephelus","Serranidae","Grouper","Pisc","PISCIVORE"
"169","PLTA","Plagiotremus tapeinosoma","Piano fangblenny","Plagiotremus","Blenniidae","Blenny","Par","SECONDARY"
"170","LETA","Lepidozygus tapeinosoma","Fusilier damselfish","Lepidozygus","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"171","BLEN","Blenniidae","Blenny species","UNKNOWN","Blenniidae","Blenny","Pk","PLANKTIVORE"
"172","AERO","Aethaloperca rogaa","Redmouth grouper","Aethaloperca","Serranidae","Grouper","Pisc","PISCIVORE"
"173","AMCH","Amphiprion chrysopterus","Orangefin anemonefish","Amphiprion","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"174","EPML","Epinephelus melanostigma","One-blotch grouper","Epinephelus","Serranidae","Grouper","Pisc","PISCIVORE"
"175","DAAU","Dascyllus auripinnis","Gold-fin dascyllus?","Dascyllus","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"176","EPFA","Epinephelus fasciatus","Blacktip grouper","Epinephelus","Serranidae","Grouper","Pisc","PISCIVORE"
"177","ZERO","Zebrasoma rostratum","Longnose surgeonfish","Zebrasoma","Acanthuridae","Surgeonfish","H","PRIMARY"
"178","HEFA","Hemigymnus fasciatus","Barred thicklip","Hemigymnus","Labridae","Wrasse","MI","SECONDARY"
"179","LUSE","Lutjanus semicinctus","Black-banded snapper","Lutjanus","Lutjanidae","Snapper","Pisc","PISCIVORE"
"180","CEBC","Centropyge bicolor","Bicolor angelfish","Centropyge","Pomacanthidae","Angelfish","H","PRIMARY"
"181","APXA","Apolemichthys xanthopunctatus","Goldspotted angelfish","Apolemichthys","Pomacanthidae","Angelfish","SI","SECONDARY"
"182","PAHE","Paracirrhites hemistictus","Whitespot hawkfish","Paracirrhites","Cirrhitidae","Hawkfish","Pisc","PISCIVORE"
"183","BOAX","Bodianus axillaris","Axilspot hogfish","Bodianus","Labridae","Wrasse","MI","SECONDARY"
"184","ACPY","Acanthurus pyroferus","Chocolate surgeonfish","Acanthurus","Acanthuridae","Surgeonfish","H","PRIMARY"
"185","POCO","Pomacentrus coelestis","Neon damselfish","Pomacentrus","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"186","CEVR","Centropyge vrolikii","Pearlscale angelfish","Centropyge","Pomacanthidae","Angelfish","H","PRIMARY"
"187","CISP","Cirripectes sp","UNKNOWN","Cirripectes","Blenniidae","Blenny","H","PRIMARY"
"188","HAHO","Halichoeres hortulanus","Checkerboard wrasse","Halichoeres","Labridae","Wrasse","MI","SECONDARY"
"189","GNAU","Gnathodentex aureolineatus","Striped large-eye bream","Gnathodentex","Lethrinidae","Emperor","MI","SECONDARY"
"190","ACLI","Acanthurus lineatus","Lined surgeonfish","Acanthurus","Acanthuridae","Surgeonfish","H","PRIMARY"
"191","ACGU","Acanthurus guttatus","Whitespotted surgeonfish","Acanthurus","Acanthuridae","Surgeonfish","H","PRIMARY"
"192","SCFR","Scarus frenatus","Bridled parrotfish","Scarus","Scaridae","Parrotfish","H","PRIMARY"
"193","THAM","Thalassoma amblycephalum","Bluntheaded wrasse","Thalassoma","Labridae","Wrasse","Pk","PLANKTIVORE"
"194","HEVA","Heniochus varius","Horned bannerfish","Heniochus","Chaetodontidae","Butterflyfish","Cor","SECONDARY"
"195","EPMC","Epinephelus macrospilos","Snubnose grouper","Epinephelus","Serranidae","Grouper","Pisc","PISCIVORE"
"196","PSOL","Pseudanthias olivaceus","Olive anthias","Pseudanthias","Serranidae","Anthias","Pk","PLANKTIVORE"
"197","MUMI","Mulloidichthys mimicus","Mimic goatfish","Mulloidichthys","Mullidae","Goatfish","MI","SECONDARY"
"198","BODI","Bodianus diana","Diana's hogfish","Bodianus","Labridae","Wrasse","MI","SECONDARY"
"199","LUGI","Lutjanus gibbus","Humpback red snapper","Lutjanus","Lutjanidae","Snapper","MI","SECONDARY"
"200","PSHT","Pseudocoris heteroptera","Torpedowrasse","Pseudocoris","Labridae","Wrasse","MI","SECONDARY"
"201","CHXA","Chromis xanthura","Paletail chromis","Chromis","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"202","CAPA","Cantherhines pardalis","Honeycomb filefish","Cantherhines","Monacanthidae","Filefish","H","PRIMARY"
"203","EPME","Epinephelus merra","Honeycomb grouper","Epinephelus","Serranidae","Grouper","Pisc","PISCIVORE"
"204","MYEA","Myripristis earlei","Earl's soldierfish","Myripristis","Holocentridae","Soldierfish","MI","SECONDARY"
"205","SCTR","Scarus tricolor","Tricolour parrotfish","Scarus","Scaridae","Parrotfish","H","PRIMARY"
"206","ABVA","Abudefduf vaigiensis","Indo-Pacific sergeant","Abudefduf","Pomacentridae","Damselfish","Pk","PLANKTIVORE"
"207","AMSC","Amanses scopas","Broom filefish","Amanses","Monacanthidae","Filefish","Cor","SECONDARY"
"208","ANCA","Anampses caeruleopunctatus","Bluespotted wrasse","Anampses","Labridae","Wrasse","MI","SECONDARY"
"209","GYFL","Gymnothorax flavimarginatus","Yellow-edged moray","Gymnothorax","Muraenidae","Moray","Pisc","PISCIVORE"
"210","COAY","Coris aygula","Clown coris","Coris","Labridae","Wrasse","MI","SECONDARY"
"211","ACMT","Acanthurus mata","Elongate surgeonfish","Acanthurus","Acanthuridae","Surgeonfish","Pk","PLANKTIVORE"
"212","COCE","Coris centralis","Central Pacific coris","Coris","Labridae","Wrasse","MI","SECONDARY"
"213","ECNE","Echidna nebulosa","Snowflake moray","Echidna","Muraenidae","Moray","MI","SECONDARY"
"214","EPRE","Epinephelus retouti","Red-tipped grouper","Epinephelus","Serranidae","Grouper","Pisc","PISCIVORE"
"215","MOGR","Monotaxis grandoculis","Humpnose big-eye bream","Monotaxis","Lethrinidae","Emperor","MI","SECONDARY"
